pompeys,6,415
weep,6,416
whether,6,417
ii,6,418
ha,6,419
eye,6,420
since,6,421
virtue,6,422
free,6,423
cold,6,424
point,6,425
ere,6,426
fit,6,427
alone,6,428
believe,6,429
together,6,430
em,6,431
went,6,432
times,6,433
patience,6,434
high,6,435
weak,6,436
looks,6,437
through,6,438
themselves,6,439
right,6,440
thrice,6,441
came,6,442
cut,6,443
theres,6,444
fare,6,445
days,6,446
iii,6,447
left,6,448
voice,6,449
power,6,450
base,6,451
redress,6,452
goes,6,453
yes,6,454
call,6,455
found,6,456
wilt,6,457
hide,6,458
wish,6,459
hither,6,460
break,6,461
lets,6,462
fetch,6,463
yourselves,6,464
going,6,465
valiant,6,466
popilius,6,467
satisfied,6,468
pulpit,6,469
loved,6,470
though,6,471
enemies,6,472
funeral,6,473
gold,6,474
army,6,475
taen,6,476
without,5,477
tiber,5,478
perceive,5,479
above,5,480
flourish,5,481
course,5,482
antonius,5,483
press,5,484
long,5,485
angry,5,486
aside,5,487
cried,5,488
whose,5,489
honours,5,490
ourselves,5,491
masters,5,492
age,5,493
room,5,494
state,5,495
note,5,496
hes,5,497
smile,5,498
honest,5,499
marketplace,5,500
sickness,5,501
spoke,5,502
alive,5,503
worth,5,504
gives,5,505
opinion,5,506
wherein,5,507
brought,5,508
earth,5,509
clouds,5,510
heaven,5,511
burn,5,512
heavens,5,513
while,5,514
dagger,5,515
bondman,5,516
grief,5,517
griefs,5,518
awhile,5,519
need,5,520
taper,5,521
nature,5,522
grant,5,523
lest,5,524
took,5,525
little,5,526
ears,5,527
conspirators,5,528
seem,5,529
head,5,530
resolved,5,531
flatterers,5,532
gave,5,533
woman,5,534
brave,5,535
senate,5,536
prepare,5,537
blame,5,538
wine,5,539
madam,5,540
side,5,541
suit,5,542
sirrah,5,543
low,5,544
mutiny,5,545
instrument,5,546
pity,5,547
marcus,5,548
wounds,5,549
speech,5,550
offended,5,551
tear,5,552
soldiers,5,553
ride,5,554
julius,4,555
sign,4,556
safe,4,557
knave,4,558
wear,4,559
triumph,4,560
grace,4,561
worse,4,562
pompey,4,563
yea,4,564
arms,4,565
patient,4,566
light,4,567
fault,4,568
tears,4,569
ceremonies,4,570
public,4,571
among,4,572
speaks,4,573
speed,4,574
noise,4,575
music,4,576
beware,4,577
number,4,578
war,4,579
thoughts,4,580
king,4,581
flood,4,582
bade,4,583
coward,4,584
lose,4,585
write,4,586
feeble,4,587
sound,4,588
grown,4,589
present,4,590
lay,4,591
glad,4,592
struck,4,593
pluck,4,594
given,4,595
quite,4,596
deeds,4,597
smiles,4,598
behold,4,599
ear,4,600
chanced,4,601
sad,4,602
almost,4,603
air,4,604
taken,4,605
less,4,606
heads,4,607
news,4,608
minds,4,609
ambition,4,610
sight,4,611
held,4,612
sit,4,613
purpose,4,614
whos,4,615
known,4,616
faults,4,617
tempt,4,618
dreadful,4,619
kind,4,620
monstrous,4,621
fearful,4,622
pleasure,4,623
haste,4,624
begin,4,625
foot,4,626
already,4,627
offence,4,628
calld,4,629
round,4,630
prevent,4,631
strike,4,632
dream,4,633
half,4,634
oath,4,635
souls,4,636
doubt,4,637
does,4,638
morning,4,639
fast,4,640
health,4,641
wise,4,642
dare,4,643
dwell,4,644
senatehouse,4,645
teeth,4,646
prithee,4,647
wind,4,648
thine,4,649
others,4,650
constant,4,651
presently,4,652
ready,4,653
freedom,4,654
beg,4,655
move,4,656
liberty,4,657
years,4,658
swords,4,659
red,4,660
country,4,661
living,4,662
business,4,663
ground,4,664
thats,4,665
revenge,4,666
shalt,4,667
fortune,4,668
sake,4,669
villains,4,670
straight,4,671
wisely,4,672
powers,4,673
sardis,4,674
denied,4,675
legions,4,676
generals,4,677
gown,4,678
sirs,4,679
hill,4,680
idle,3,681
holiday,3,682
hope,3,683
beseech,3,684
saucy,3,685
matters,3,686
danger,3,687
proper,3,688
rejoice,3,689
conquest,3,690
brings,3,691
stones,3,692
cruel,3,693
knew,3,694
oft,3,695
walls,3,696
windows,3,697
shores,3,698
sort,3,699
kiss,3,700
images,3,701
pluckd,3,702
ordinary,3,703
crowd,3,704
forget,3,705
calls,3,706
turnd,3,707
throng,3,708
order,3,709
late,3,710
trouble,3,711
construe,3,712
breast,3,713
buried,3,714
itself,3,715
immortal,3,716
dangers,3,717
new,3,718
toward,3,719
awe,3,720
born,3,721
yonder,3,722
sink,3,723
become,3,724
god,3,725
bend,3,726
lips,3,727
groan,3,728
palm,3,729
huge,3,730
graves,3,731
fates,3,732
mouth,3,733
heavy,3,734
soon,3,735
names,3,736
entreat,3,737
consider,3,738
train,3,739
brow,3,740
fiery,3,741
conference,3,742
has,3,743
greater,3,744
marry,3,745
wast,3,746
manner,3,747
twas,3,748
neither,3,749
told,3,750
thinking,3,751
fingers,3,752
refused,3,753
because,3,754
according,3,755
hell,3,756
amiss,3,757
stood,3,758
soul,3,759
mothers,3,760
neer,3,761
silence,3,762
mettle,3,763
bold,3,764
form,3,765
thunder,3,766
lightning,3,767
stare,3,768
rage,3,769
either,3,770
lion,3,771
hundred,3,772
women,3,773
bosom,3,774
cross,3,775
quality,3,776
children,3,777
limbs,3,778
ancestors,3,779
save,3,780
therein,3,781
besides,3,782
tyranny,3,783
trash,3,784
led,3,785
close,3,786
t,3,787
content,3,788
paper,3,789
statue,3,790
hie,3,791
parts,3,792
brutuss,3,793
crownd,3,794
question,3,795
truth,3,796
proof,3,797
turns,3,798
sleepst,3,799
piece,3,800
mans,3,801
promise,3,802
knocks,3,803
motion,3,804
desire,3,805
conspiracy,3,806
evils,3,807
sun,3,808
swear,3,809
drop,3,810
cowards,3,811
steel,3,812
spur,3,813
honesty,3,814
commend,3,815
bleed,3,816
clock,3,817
gentlemen,3,818
constancy,3,819
rise,3,820
condition,3,821
answerd,3,822
fearing,3,823
withal,3,824
kneel,3,825
secrets,3,826
drops,3,827
visit,3,828
whats,3,829
leads,3,830
success,3,831
dying,3,832
taste,3,833
seeing,3,834
shame,3,835
knows,3,836
wisdom,3,837
heres,3,838
hail,3,839
happy,3,840
private,3,841
apt,3,842
yield,3,843
early,3,844
oclock,3,845
thank,3,846
iv,3,847
lady,3,848
urge,3,849
makes,3,850
sudden,3,851
fools,3,852
sweet,3,853
stab,3,854
dies,3,855
standing,3,856
fled,3,857
stoop,3,858
honourd,3,859
affairs,3,860
depart,3,861
glories,3,862
receive,3,863
prickd,3,864
regard,3,865
consent,3,866
permission,3,867
advantage,3,868
noblest,3,869
lived,3,870
hot,3,871
coming,3,872
judge,3,873
slew,3,874
joy,3,875
enforced,3,876
bones,3,877
ran,3,878
charge,3,879
bachelor,3,880
briefly,3,881
answered,3,882
proscription,3,883
horse,3,884
fight,3,885
friendly,3,886
mother,3,887
tidings,3,888
died,3,889
alarums,3,890
commoners,2,891
creatures,2,892
ought,2,893
leather,2,894
rule,2,895
cobbler,2,896
mend,2,897
awl,2,898
shoes,2,899
infants,2,900
underneath,2,901
banks,2,902
houses,2,903
knees,2,904
ingratitude,2,905
draw,2,906
stream,2,907
exalted,2,908
metal,2,909
towards,2,910
feast,2,911
lupercal,2,912
hung,2,913
drive,2,914
thick,2,915
growing,2,916
wing,2,917
following,2,918
touch,2,919
holy,2,920
curse,2,921
ceremony,2,922
bids,2,923
sennet,2,924
except,2,925
quick,2,926
observe,2,927
deceived,2,928
countenance,2,929
perhaps,2,930
shows,2,931
passion,2,932
sees,2,933
reflection,2,934
just,2,935
worthiness,2,936
speaking,2,937
groaning,2,938
ages,2,939
yoke,2,940
wishd,2,941
discover,2,942
jealous,2,943
fawn,2,944
choose,2,945
aught,2,946
favour,2,947
raw,2,948
leap,2,949
swim,2,950
lusty,2,951
help,2,952
creature,2,953
nod,2,954
colour,2,955
drink,2,956
temper,2,957
start,2,958
narrow,2,959
stars,2,960
fair,2,961
lost,2,962
breed,2,963
bloods,2,964
fathers,2,965
devil,2,966
aim,2,967
hereafter,2,968
conditions,2,969
proceeded,2,970
spot,2,971
calpurnias,2,972
pale,2,973
crossd,2,974
nights,2,975
yond,2,976
lean,2,977
thinks,2,978
liable,2,979
reads,2,980
plays,2,981
ease,2,982
feard,2,983
ask,2,984
shouted,2,985
foolery,2,986
choked,2,987
laugh,2,988
soft,2,989
theatre,2,990
ope,2,991
heed,2,992
greek,2,993
effect,2,994
blunt,2,995
school,2,996
wit,2,997
digest,2,998
disposed,2,999
throw,2,1000
tending,2,1001
holds,2,1002
